테마,종목1,종목2,종목코드1,종목코드2
반도체 재료/부품,샘씨엔에스,타이거일렉,252990,219130
스마트폰,캠시스,한일진공,050110,123840
화폐/금융자동화기기(디지털화폐 등),프리엠스,누리플렉스,053160,040160
콜드체인(저온 유통),아이텍,지씨셀,119830,144510
육계,하림,마니커,136480,027740
전기차,캠시스,아이에이,050110,038880
모바일솔루션(스마트폰),지어소프트,유비벨록스,051160,089850
페인트,노루홀딩스,AK홀딩스,000320,006840
LCD 부품/소재,파인디앤씨,에프에스티,049120,036810
LCD 부품/소재,파인디앤씨,에프에스티,049120,036810
건강기능식품,아이진,HK이노엔,185490,195940
게임,KH 전자,크래프톤,111870,259960
그래핀,상보,솔루에타,027580,154040
제4이동통신,세종텔레콤,광무,036630,029480
K-뉴딜지수(게임),크래프톤,펄어비스,259960,263750
보톡스(보툴리눔톡신),한국비엔씨,알에프텍,256840,061040
철강 주요종목,KG스틸,동국제강,016380,001230
출산장려정책,락앤락,매일유업,115390,267980
수소차(연료전지/부품/충전소 등),아이에이,라이트론,038880,069540
휴대폰부품,캠시스,인탑스,050110,049070
철강 중소형,한국특강,만호제강,007280,001080
전선,일진전기,대원전선,103590,006340
日 수출 규제(국산화 등),풍원정밀,후성,371950,093370
아스콘(아스팔트 콘크리트),한국석유,극동유화,004090,014530
시멘트/레미콘,유니온,모헨즈,000910,006920
탈모 치료 관련주,바이오니아,대웅제약,064550,069620
스마트그리드(지능형전력망),일진전기,피앤씨테크,103590,237750
해운,흥아해운,HMM,003280,011200
온실가스(탄소배출권),후성,에코프로,093370,086520
석유화학,태광산업,금호석유,003240,011780
2차전지(전고체),티에스아이,한송네오텍,277880,226440
크래프톤 관련주,크래프톤,이노테라피,259960,246960
비철금속,코센,고려아연,009730,010130
국내 상장 중국기업,GRT,골든센츄리,900290,900280
전기차(충전소/충전기),기아,LG전자,000270,066570
자동차부품,GH신소재,대성엘텍,130500,025440
전자파,솔루에타,이큐셀,154040,160600
PCB(FPCB 등),타이거일렉,시노펙스,219130,025320
비료,우진비앤지,태원물산,018620,001420
남북경협,한국석유,희림,004090,037440
강관(Steel pipe),금강공업,코센,014280,009730
태양광에너지,에스와이,엘오티베큠,109610,083310
농업,우진비앤지,성보화학,018620,003080
터치패널(스마트폰/태블릿PC 등),토비스,이큐셀,051360,160600
조림사업,자연과환경,동신건설,043910,025950
지능형로봇/인공지능(AI),모아데이타,에스티큐브,288980,052020
캐릭터상품,캐리소프트,손오공,317530,066910
무선충전기술,삼성전자,알에프텍,005930,061040
수자원(양적/질적 개선),시노펙스,자연과환경,025320,043910
엔젤산업,락앤락,매일유업,115390,267980
스마트팩토리(스마트공장),아진엑스텍,고영,059120,098460
보안주(물리),인콘,슈프리마,083640,236200
철도,서한,제룡전기,011370,033100
리비안(RIVIAN) 관련주,우신시스템,TCC스틸,017370,002710
건설 중소형,서한,범양건영,011370,002410
선박평형수 처리장치,부방,이엠코리아,014470,095190
CCTV＆DVR,인콘,아이디스,083640,143160
재난/안전(지진 등),희림,인콘,037440,083640
UAM(도심항공모빌리티),SK텔레콤,KT,017670,030200
남-북-러 가스관사업,휴스틸,이엠코리아,005010,095190
우크라이나 재건 관련주,에스와이,프리엠스,109610,053160
우주항공산업,태웅,파이버프로,044490,368770
GTX(수도권 광역급행철도),서한,세명전기,011370,017510
건설 대표주,삼성물산,DL,028260,000210
조선,HJ중공업,현대중공업,097230,329180
건설기계,프리엠스,동일금속,053160,109860
