티커,시가,고가,저가,종가,거래량,거래대금,등락률
017180,3200,3200,3015,3075,61506,189769010,-0.81
257370,0,0,0,9210,0,0,0.0
009900,16250,16400,15450,15950,265158,4195824700,-1.54
267060,0,0,0,181,0,0,0.0
012690,3160,3170,3010,3045,109461,336574835,-3.64
005360,3215,3305,3105,3155,61211,194997175,-2.17
080420,3750,3775,3290,3335,927498,3230898835,-10.83
080160,15700,15850,15200,15350,80901,1252771150,-1.29
204210,4885,4885,4685,4690,3086,14594340,-3.99
100030,19900,19900,18900,19600,8081,156311900,-1.51
087260,2885,3370,2815,3100,6242951,19938129125,8.2
101330,2770,2850,2630,2690,41216,111846295,-1.28
012860,1375,1375,1285,1295,399503,524244060,-4.78
363260,1480,1485,1355,1405,320095,450871660,-4.42
348030,10750,10900,10000,10300,19938,205039700,-3.74
250060,1590,1625,1540,1560,23867,37667045,-1.89
288980,14950,15900,14750,15150,981057,15137374400,4.48
033200,5220,5300,5160,5190,11866,61767400,-0.19
009680,8220,8420,8110,8150,35657,296163690,-0.73
118990,10900,11000,10350,10700,729856,7760929750,-1.83
006920,3835,3910,3670,3830,82119,312030385,1.32
009580,3880,3915,3765,3780,168004,640158860,-2.58
001810,2600,2665,2485,2590,202104,518386560,-0.96
009200,2475,2680,2415,2460,1584147,4028567255,-0.61
135160,2680,2680,2415,2675,1026,2505015,-0.93
322970,4990,4990,4215,4750,5506,25264575,-2.26
033920,6550,6680,6290,6340,65048,415797360,-4.23
008420,3460,3490,3270,3335,115406,388469540,-3.19
279600,9820,10150,9810,10150,3707,37035180,0.5
095500,5910,6000,5420,5560,860936,4817114800,-5.92
025560,9600,9750,9340,9470,26712,254508380,-1.25
218150,6260,6510,5930,6130,715284,4415940820,-2.85
007120,306,308,296,298,764495,229523360,-2.61
396690,4875,4880,4625,4670,167194,783955395,-4.21
353490,2170,2170,2130,2150,20388,43643665,-0.69
328380,2195,2195,1970,2000,426090,868553865,-6.54
357250,4285,4290,4170,4260,48032,201596265,-0.35
100790,5280,5690,5190,5270,114278,607416950,-0.19
412930,2135,2135,2120,2125,4282,9093335,-0.47
085620,3125,3150,3060,3095,26444,81589380,-0.16
006800,6680,6830,6650,6830,921725,6246266600,2.55
00680K,3790,3830,3755,3775,144422,545797440,-0.4
006805,4540,4590,4280,4280,65763,285727975,-5.41
208890,0,0,0,1485,0,0,0.0
049950,19250,19400,18350,18750,23869,447446950,-2.34
207760,5090,5180,4960,5100,38380,193445470,0.79
002840,179500,181500,178000,179000,1783,319523000,0.0
268280,201500,201500,199500,200500,552,110407500,-0.5
107590,135000,135500,132000,134500,831,110634500,-0.37
134380,67400,67400,66000,66800,140,9280300,0.75
003650,79900,80000,79000,79800,662,52621000,-0.13
059090,7870,7950,7600,7700,140020,1087630230,-2.16
214610,12450,13000,11100,12200,7736174,94206333950,1.24
201490,4200,4245,4060,4140,112682,467010920,-1.9
950190,16150,16150,15700,16000,18614,295811350,0.31
214180,13050,13250,12700,13050,28322,366193150,-0.38
155900,3330,3340,3315,3325,28845,95983580,-0.15
206640,10600,11800,10600,11450,547242,6237419400,10.1
018700,2515,2595,2420,2490,172707,427409365,-1.97
035620,1005,1015,993,1010,229677,229768474,0.5
064520,0,0,0,9450,0,0,0.0
053030,13100,13750,12700,13650,501453,6751323600,4.6
301300,27650,28600,27000,27500,10941,302912750,-1.96
064550,23500,24650,23150,24300,421872,10179422550,5.65
314930,26000,26400,25750,26150,6438,168025700,0.38
208710,1485,1580,1370,1395,3206115,4783138165,-5.74
086820,13650,14200,13150,14100,52001,709907550,3.3
038460,3680,3955,3560,3905,263702,1001094610,8.47
281310,0,0,0,7600,0,0,0.0
251120,23900,24200,22200,22400,98291,2255099450,-5.88
266470,1910,2215,1910,1920,1613,3162765,-6.8
086040,7180,7250,7080,7200,57552,411083650,0.28
199290,1080,1080,1075,1080,801,864805,-0.92
099430,24750,25750,24450,25600,224317,5637059800,4.49
032980,1355,1375,1295,1340,65169,86163490,-1.47
222160,6500,6530,6110,6470,47758,304391150,-0.46
308080,8980,9090,8500,8630,204056,1789984850,-4.54
043150,29300,30050,28200,29300,46652,1362038700,0.51
323990,36900,37950,36850,37450,98706,3677923300,1.9
003610,3020,3025,2840,2945,53219,153799690,-1.83
267790,7420,7650,7400,7600,39603,296847440,2.43
001340,4290,4360,4090,4165,215347,900663025,-2.91
046310,2650,2910,2530,2745,423066,1163927345,3.2
035150,8560,8680,8350,8510,146276,1239119330,-0.47
066410,1670,1750,1660,1700,2146297,3642210880,2.1
002410,4710,5420,4610,4935,21898256,112736048225,6.7
382900,33800,33850,30500,31100,448091,14217586200,-7.03
206400,3290,3300,3075,3145,119649,375061140,-4.12
019010,2230,2500,2130,2215,7315375,17098922920,6.24
322190,728,728,622,726,17,12123,-0.68
177350,6690,7000,6150,6400,531055,3391735090,-5.33
299910,0,0,0,3165,0,0,0.0
096300,205,206,204,206,42969,8787437,0.49
007210,2710,2720,2575,2610,424875,1118781375,-3.51
225530,5490,5680,5320,5350,41768,227083670,-2.73
250000,11450,11550,10600,10750,58732,647070000,-5.29
002760,1640,1670,1620,1635,110030,180386600,-0.61
003850,10000,10150,9910,10000,84768,847331500,0.2
310210,38050,43800,34800,40650,3043289,121736308200,8.98
006910,5450,5520,5010,5080,2293988,11846617890,-6.45
000890,725,733,703,712,363487,259612540,-2.47
226340,1650,1650,1570,1600,33713,54009510,-3.03
206950,3200,3200,2905,2905,130,387465,-4.91
003000,8340,8450,8100,8210,201406,1661514460,-1.44
001270,22000,22000,21000,21200,3039,64847350,-3.64
001275,20600,20600,20100,20100,1322,26678750,-1.47
026940,3500,3550,3365,3400,122060,418588715,-2.86
014470,2305,2440,2205,2205,637487,1453596475,1.15
011390,77400,80500,74800,76200,2235,171160100,-2.06
005030,799,808,780,800,1795760,1422054439,0.13
008470,4980,5060,4850,4975,19635,96641045,-0.5
338220,7790,7920,7540,7590,26475,203817320,-0.13
100120,34750,35300,33450,34300,20451,697393300,-1.15
337930,7260,7390,7230,7250,24518,178362300,-1.49
099390,7660,8000,7310,7500,29728,224135730,-2.6
064480,4950,4955,4600,4640,254815,1202820585,-5.79
288330,8700,8800,8110,8290,33271,274952080,-4.16
365900,11400,11700,10200,10250,195852,2108507950,-9.69
251630,7450,7690,6920,7220,33246,238922280,-0.96
018290,5390,5460,5130,5250,154717,810511480,-4.02
044480,2510,2660,2360,2460,1509371,3797612340,-1.99
033560,9850,10000,9750,9930,87912,869280230,-0.1
191600,8500,9990,8500,8500,701,5959990,-15.0
369370,2960,3065,2760,2860,145312,418182120,-4.67
126340,43050,43450,40100,41400,29229,1201502850,-3.83
121800,8280,8500,7960,8200,589276,4826547640,-0.85
148140,0,0,0,640,0,0,0.0
082800,890,917,890,900,149100,134027603,0.67
318410,9870,9890,9530,9810,16569,160615850,-0.61
002070,1640,1675,1580,1620,156319,253700300,-1.52
100220,5820,6010,5710,5920,37075,217475000,-1.33
146320,16350,16500,15200,15450,90474,1415583250,-6.65
200780,9580,9610,9140,9240,20867,194202050,-3.55
141000,8220,8340,7960,8180,35290,284867850,-0.49
090460,25050,25800,24450,25000,557812,13945864400,-0.2
083650,7650,8280,7060,7700,4399764,34652515910,1.85
215050,0,0,0,912,0,0,0.0
142760,5570,5580,5220,5350,136618,734227160,-1.65
065170,882,890,848,867,219544,188925487,-1.7
086220,0,0,0,2500,0,0,0.0
086670,11900,11900,11000,11450,135416,1529349200,-3.78
335890,1870,1890,1790,1830,203445,370709870,-1.08
138580,7870,7870,7560,7780,27339,209562840,-0.26
082920,11500,11700,11200,11250,26291,299798600,-3.02
054220,0,0,0,5670,0,0,0.0
042370,6850,6950,6490,6630,112917,747861930,-2.64
030790,0,0,0,904,0,0,0.0
050090,523,543,510,523,90784,47246771,-1.13
307870,1985,1990,1835,1880,14188,27016865,-1.05
357880,11200,11300,10250,10600,217622,2312037000,-5.36
032850,6050,6090,5820,6010,78159,463857340,-0.5
148780,8490,8560,8050,8470,17626,147192400,-0.59
238200,7780,7860,7580,7670,13531,104355480,-1.67
093190,6060,6100,5850,5920,31752,188513200,-2.31
065450,5300,5330,4985,5030,951711,4841939450,-5.09
210120,18900,18900,15550,18450,6,99550,2.79
005180,45750,46500,45750,45850,6546,301445950,0.44
072950,6270,6380,6020,6250,36144,221116670,-0.64
266170,1450,1450,1285,1285,571,738835,-0.77
143240,34550,35600,33000,33950,19430,654101550,-1.59
003960,23650,24600,23600,23950,26057,627814900,0.63
008040,1550,1595,1485,1515,3816341,5832792280,-1.62
007160,44500,44650,42500,43050,6199,267860500,-2.93
014710,4945,5140,4615,4835,67623,327643285,-2.52
006090,8990,9070,8730,9060,15252,135176430,-0.11
100090,23450,23450,20750,20900,1176455,25507430500,-8.13
122350,3025,3055,2865,3010,171397,503806175,-0.5
014970,5240,5240,4930,4975,22554,113023045,-2.64
018310,19900,20400,18300,18750,67512,1278874900,-5.78
053700,3975,3980,3750,3820,31389,120286580,-0.52
009620,1065,1075,1015,1045,434159,454044865,-1.42
023600,9380,9380,9020,9260,67203,612748810,-1.38
001470,2435,2500,2155,2260,29684626,70136581570,-6.03
006400,510000,516000,501000,506000,209007,105800082000,-1.17
006405,265000,268000,259500,261500,1654,432773000,-1.32
006660,10750,10900,10200,10400,16676,176036300,-3.26
380320,4685,4945,4270,4700,1925711,8950365695,0.32
028260,123000,123500,119000,121500,425979,51407845000,-0.82
02826K,109000,109000,104500,107500,3909,416367000,-0.46
207940,782000,794000,775000,791000,79057,62067293000,1.28
032830,62900,63600,61300,62400,225363,14047893700,-1.27
377630,5900,7070,5720,6150,3800677,24832531400,2.67
425290,6540,8780,6480,8780,12465768,99594107080,29.88
018260,129500,130500,127500,128500,93254,11998025500,-0.39
028050,22600,22700,21600,21950,967773,21333373400,-2.23
009150,127500,128500,125000,126500,585886,74217509500,-0.78
009155,73500,73600,71200,71700,6470,467258900,-2.45
