테마,종목1,종목2,종목코드1,종목코드2,어제종가1,그제종가1,어제종가2,그제종가2
원자력,비에이치아이,한국테크놀로지,083650,053590,7450,7700,692,689
대형 건설사,삼성물산,삼성엔지니어링,028260,028050,122000,121500,22050,21950
면세점,신세계,토니모리,004170,214420,219000,217500,4200,4060
LNG선 - 기자재,디케이락,한국카본,105740,017960,9640,9300,13750,13500
건설기계,프리엠스,동일금속,053160,109860,9650,9670,17500,17100
자원개발,서울가스,대성산업,017390,128820,238500,238500,5180,5040
발전 - 풍력,효성,DMS,004800,068790,79100,79000,4930,4765
발전 - 태양광,윌링스,대성파인텍,313760,104040,10850,11150,1605,1495
SNS(소셜네트워크서비스),카카오,이루온,035720,065440,72000,68100,2635,2595
수산,사조대림,한성기업,003960,003680,24300,23950,6190,6030
갤럭시 부품주,캠시스,시노펙스,050110,025320,2225,2190,3340,3075
화학섬유,태광산업,성안,003240,011300,914000,918000,540,534
탄소나노튜브(CNT),상보,금호석유,027580,011780,1505,1455,141000,140000
플렉서블 디스플레이,삼성전자,HB솔루션,005930,297890,57200,57100,13000,12350
LED,파커스,삼성전자,065690,005930,2565,2550,57200,57100
케이블TV SO/MSO,태광산업,현대홈쇼핑,003240,057050,914000,918000,51700,50900
모바일게임(스마트폰),KH 전자,크래프톤,111870,259960,748,749,226000,222500
NFT(대체불가토큰),에이스토리,엔비티,241840,236810,20000,18600,6870,6620
폴더블폰,삼성전자,상보,005930,027580,57200,57100,1505,1455
지주사,평화홀딩스,GRT,010770,900290,3250,3175,1285,1265
공기청정기,삼성전자,LG전자,005930,066570,57200,57100,95500,90200
日제품 불매운동(수혜),배럴,리드코프,267790,012700,7760,7600,8100,8080
반도체 재료/부품,샘씨엔에스,타이거일렉,252990,219130,4930,4810,15200,15450
스마트폰,캠시스,한일진공,050110,123840,2225,2190,559,560
화폐/금융자동화기기(디지털화폐 등),프리엠스,누리플렉스,053160,040160,9650,9670,6630,6510
콜드체인(저온 유통),아이텍,지씨셀,119830,144510,8330,8220,58500,53700
육계,하림,마니커,136480,027740,3000,2900,1550,1505
전기차,캠시스,아이에이,050110,038880,2225,2190,810,802
모바일솔루션(스마트폰),지어소프트,유비벨록스,051160,089850,11950,11200,14050,13800
페인트,노루홀딩스,AK홀딩스,000320,006840,10900,10650,16150,15800
LCD 부품/소재,파인디앤씨,에프에스티,049120,036810,1800,1785,14750,14250
LCD 부품/소재,파인디앤씨,에프에스티,049120,036810,1800,1785,14750,14250
건강기능식품,아이진,HK이노엔,185490,195940,8750,8550,39250,38500
게임,KH 전자,크래프톤,111870,259960,748,749,226000,222500
그래핀,상보,솔루에타,027580,154040,1505,1455,2690,2645
제4이동통신,세종텔레콤,광무,036630,029480,748,740,2685,2750
K-뉴딜지수(게임),크래프톤,펄어비스,259960,263750,226000,222500,51900,50500
보톡스(보툴리눔톡신),한국비엔씨,알에프텍,256840,061040,8070,7020,5130,5020
철강 주요종목,KG스틸,동국제강,016380,001230,13350,13000,13350,12850
출산장려정책,락앤락,매일유업,115390,267980,7790,7640,59700,58300
수소차(연료전지/부품/충전소 등),아이에이,라이트론,038880,069540,810,802,3970,3830
휴대폰부품,캠시스,인탑스,050110,049070,2225,2190,28000,25700
철강 중소형,한국특강,만호제강,007280,001080,2425,2380,22300,21350
전선,일진전기,대원전선,103590,006340,7560,7480,1470,1420
日 수출 규제(국산화 등),풍원정밀,후성,371950,093370,14450,14100,18300,17650
아스콘(아스팔트 콘크리트),한국석유,극동유화,004090,014530,11850,11750,3665,3645
시멘트/레미콘,유니온,모헨즈,000910,006920,6080,6210,3930,3830
탈모 치료 관련주,바이오니아,대웅제약,064550,069620,26150,24300,178000,173500
스마트그리드(지능형전력망),일진전기,피앤씨테크,103590,237750,7560,7480,7040,6710
해운,흥아해운,HMM,003280,011200,2085,1980,24750,23650
온실가스(탄소배출권),후성,에코프로,093370,086520,18300,17650,72400,67400
석유화학,태광산업,금호석유,003240,011780,914000,918000,141000,140000
2차전지(전고체),티에스아이,한송네오텍,277880,226440,9640,9570,1530,1530
크래프톤 관련주,크래프톤,이노테라피,259960,246960,226000,222500,9140,9080
비철금속,코센,고려아연,009730,010130,2715,2715,490500,481000
국내 상장 중국기업,GRT,골든센츄리,900290,900280,1285,1265,371,348
전기차(충전소/충전기),기아,LG전자,000270,066570,78400,78500,95500,90200
자동차부품,GH신소재,대성엘텍,130500,025440,4305,4225,1025,922
전자파,솔루에타,이큐셀,154040,160600,2690,2645,3100,3100
PCB(FPCB 등),타이거일렉,시노펙스,219130,025320,15200,15450,3340,3075
비료,우진비앤지,태원물산,018620,001420,2170,2145,4730,4610
남북경협,한국석유,희림,004090,037440,11850,11750,9280,9120
강관(Steel pipe),금강공업,코센,014280,009730,7390,7300,2715,2715
태양광에너지,에스와이,엘오티베큠,109610,083310,3925,3835,11450,11400
농업,우진비앤지,성보화학,018620,003080,2170,2145,3630,3500
터치패널(스마트폰/태블릿PC 등),토비스,이큐셀,051360,160600,9030,8750,3100,3100
조림사업,자연과환경,동신건설,043910,025950,1405,1375,19900,20400
지능형로봇/인공지능(AI),모아데이타,에스티큐브,288980,052020,19650,15150,6200,6050
캐릭터상품,캐리소프트,손오공,317530,066910,5620,5540,2215,2165
무선충전기술,삼성전자,알에프텍,005930,061040,57200,57100,5130,5020
수자원(양적/질적 개선),시노펙스,자연과환경,025320,043910,3340,3075,1405,1375
엔젤산업,락앤락,매일유업,115390,267980,7790,7640,59700,58300
스마트팩토리(스마트공장),아진엑스텍,고영,059120,098460,9380,9120,13550,13350
보안주(물리),인콘,슈프리마,083640,236200,1025,971,21700,21400
철도,서한,제룡전기,011370,033100,1335,1440,7130,7250
리비안(RIVIAN) 관련주,우신시스템,TCC스틸,017370,002710,2350,2270,12150,11700
건설 중소형,서한,범양건영,011370,002410,1335,1440,4910,4935
선박평형수 처리장치,부방,이엠코리아,014470,095190,2240,2205,2805,2660
CCTV＆DVR,인콘,아이디스,083640,143160,1025,971,23700,23900
재난/안전(지진 등),희림,인콘,037440,083640,9280,9120,1025,971
UAM(도심항공모빌리티),SK텔레콤,KT,017670,030200,54200,53600,37400,37150
남-북-러 가스관사업,휴스틸,이엠코리아,005010,095190,21950,21950,2805,2660
우크라이나 재건 관련주,에스와이,프리엠스,109610,053160,3925,3835,9650,9670
우주항공산업,태웅,파이버프로,044490,368770,10600,11300,3685,3605
GTX(수도권 광역급행철도),서한,세명전기,011370,017510,1335,1440,3870,3800
건설 대표주,삼성물산,DL,028260,000210,122000,121500,69900,70100
조선,HJ중공업,현대중공업,097230,329180,6900,6900,135000,135500
건설기계,프리엠스,동일금속,053160,109860,9650,9670,17500,17100
