시가,고가,저가,종가,거래량,거래대금,등락률
793,818,792,818,190241,154077119,2.25
825,859,825,852,168198,142321593,3.9
1300,1390,1300,1390,532898,723413575,6.92
5250,5460,5170,5390,377652,2022385720,5.48
48200,49850,48200,49750,25331,1243462100,-0.1
125000,129500,124000,129000,24971,3189919000,4.45
1775,1820,1770,1810,9596703,17262357205,2.84
15350,15900,15350,15750,21915,345865900,2.94
3145,3250,3145,3245,685867,2201828440,2.37
3110,3195,3105,3190,77984,246970560,1.59
132500,137000,132500,137000,2614,354486000,3.01
25200,25700,25050,25450,927576,23589567000,1.39
30300,36950,30300,33250,46924,1628049950,8.13
2450,2555,2450,2540,612624,1543194490,4.1
106500,109500,106000,108000,166,17839000,1.89
1980,2060,1980,2055,186471,378176230,4.05
2195,2465,2195,2250,696589,1608990935,2.27
39150,42400,38700,41800,134513,5575047850,8.43
36650,37400,36650,37350,146778,5454974750,2.33
5860,6120,5860,6080,123959,747895690,4.29
7010,7410,7010,7310,7820,56367690,2.81
2500,2500,2425,2425,70661,172817655,-1.42
84900,87700,83000,87600,93848,8058954700,4.78
9450,10050,9410,9640,1891762,18342102370,5.36
13000,13350,12850,13350,353781,4661582950,3.89
58000,60000,57600,59900,1652,95952100,3.28
2680,2740,2680,2725,110678,300120540,1.87
6730,6870,6730,6800,5389,36668500,1.49
10850,11000,10700,11000,40809,445629900,1.85
24400,25400,24400,25400,252,6239300,4.1
26450,26650,26000,26450,31095,821638150,-0.38
7460,7660,7460,7570,37890,286471320,0.93
3960,4095,3955,4010,62805,251349535,-0.74
100500,101500,100000,101000,4652,468824000,0.0
57100,57900,56600,57800,4065,233586600,2.12
16200,16850,16150,16750,26353,438948500,3.4
11500,11700,11500,11600,7623,88433250,0.43
1100,1140,1100,1135,257364,289349200,3.18
12400,13450,12350,13350,5208,68805700,8.54
0,0,0,28450,0,0,0.0
14950,15550,14650,15400,279,4206450,2.67
5650,5780,5650,5720,51941,296447260,0.53
6290,6430,6230,6420,5247,33283000,3.05
1035,1195,1035,1110,22091464,25037975970,8.29
4775,4880,4715,4815,26591,127354510,2.45
158500,159500,155000,159500,2292,362709000,1.27
817,855,807,855,70396,59073102,4.65
214500,216000,211000,215500,2446,523871500,0.7
8730,9010,8710,9010,30285,269987300,3.21
54200,54900,53400,53800,17550,948600600,1.13
31300,32050,31300,32050,53,1665200,3.39
8550,8780,8260,8350,2279925,19465412380,-0.12
169000,170500,169000,170000,7493,1272940000,0.29
3115,3245,3115,3245,88214,282316060,3.51
9420,9880,9420,9850,96705,943145940,5.24
68000,68700,66900,68100,46190,3134352300,0.29
88900,90600,88800,90600,991,89035200,1.91
29250,29900,28950,29500,175191,5163534550,2.79
18350,18700,17850,18400,5072898,92731129800,0.27
45400,46000,44500,45850,2164,97606200,1.55
28900,29650,28650,29500,163282,4780002200,2.61
9180,9450,9170,9450,12397,115430730,2.94
11800,12550,11800,12550,10231,124989900,5.91
2695,2765,2695,2755,59212,161943010,2.23
9590,9740,9550,9640,167093,1612475420,0.73
22350,22550,21850,22350,45312,1007194750,0.0
5750,5880,5720,5780,79530,461166200,1.58
4030,4145,4020,4145,42838,175345575,2.85
4540,4550,4410,4545,217721,971198575,0.11
